# Time-averaged data for fix 3
# TimeStep v_press v_vol v_etotal
15030 -32594.5 301636 -743141
15040 30058.9 301632 -743407
15050 19817.5 301620 -741966
15060 2655.03 301611 -742082
15070 72658.9 301588 -742961
15080 -18136.2 301567 -743402
15090 25679.3 301544 -743796
15100 -3415.03 301531 -743259
15110 32303.5 301528 -743163
15120 6857.35 301540 -743520
15130 -8595.75 301568 -744254
15140 -22921.8 301601 -743748
15150 42577.2 301635 -743799
15160 11676.8 301684 -744502
15170 -4835.36 301729 -745108
15180 -29740.8 301766 -744142
15190 -15052.4 301776 -744823
15200 -18195.9 301787 -743988
15210 -43799.5 301806 -744919
15220 -14406.7 301824 -745119
15230 -26339.2 301830 -745477
15240 19491.1 301814 -744964
15250 -19884.7 301812 -745637
15260 -42185.9 301823 -745791
15270 9829.2 301830 -745603
15280 26660.2 301849 -745620
15290 -12148.2 301871 -745301
15300 -11832.4 301892 -745226
15310 -8956.76 301912 -745001
15320 -54581.4 301944 -744885
15330 36708.2 301973 -744098
15340 -30326.3 302015 -744385
15350 -26247.8 302048 -744785
15360 15894.1 302062 -744911
15370 -12886.4 302072 -746231
15380 -28131.2 302068 -744697
15390 -14220.1 302058 -744988
15400 -27377.3 302056 -743180
15410 -9043.06 302055 -742993
15420 24539.1 302065 -741608
15430 -20880.9 302081 -741351
15440 -16612.4 302096 -741445
15450 27728.8 302105 -741379
15460 -4331.8 302128 -741477
15470 -5570.27 302169 -741648
15480 49105.6 302216 -742111
15490 14817.6 302273 -742002
15500 -21755.7 302323 -742833
15510 6603.18 302358 -743078
15520 12906.8 302392 -743471
15530 -48889.6 302424 -743872
15540 -26178.2 302429 -743627
15550 -32264.2 302429 -744382
15560 -32766.5 302425 -743947
15570 -19216.3 302400 -743772
15580 19766 302369 -744226
15590 -45363 302355 -744560
15600 88213 302335 -743914
15610 38189.5 302341 -744632
15620 -9556.48 302356 -746008
15630 27511.2 302372 -746190
15640 -8168.25 302389 -745267
15650 -60983.2 302400 -743596
15660 56980.8 302390 -744018
15670 -2037.9 302396 -744145
15680 6032.87 302416 -744172
15690 645.477 302440 -742854
15700 -10212.1 302465 -743469
15710 -51800.7 302478 -742762
15720 21181.2 302478 -742598
15730 28946.4 302486 -742517
15740 -22039.7 302496 -742654
15750 75091 302515 -742364
15760 21361.1 302561 -742679
15770 -14206.2 302624 -743194
15780 13727.7 302678 -743927
15790 -19673.4 302702 -744317
15800 -75010.8 302709 -745261
15810 18302.2 302694 -745887
15820 -25206 302682 -745623
15830 39990 302649 -746071
15840 -16995.9 302616 -745689
15850 27491 302586 -744617
15860 85475.4 302561 -743360
15870 -6350.32 302559 -743747
15880 -23276.9 302553 -743996
15890 3014.47 302547 -744490
15900 -17519.6 302541 -745004
15910 -45086.2 302537 -744894
15920 63085.7 302539 -745125
15930 -38150.2 302548 -745186
15940 52304.2 302535 -745497
15950 -7060.63 302538 -745961
15960 1361.71 302549 -746259
15970 -10377.9 302552 -746170
15980 65409.9 302539 -746493
15990 -57194 302535 -746817
16000 -56149 302515 -746386
16010 41500.7 302469 -746579
16020 -53124.4 302426 -747185
16030 52118.7 302379 -747270
16040 5443.89 302342 -748106
16050 17561.3 302320 -748198
16060 -59200.2 302316 -748037
16070 52044.9 302306 -747610
16080 25623.1 302310 -746375
16090 -24388.5 302307 -746590
16100 -25051.1 302302 -746361
16110 -609.604 302291 -746883
16120 7682.2 302283 -746964
16130 20479.9 302264 -747061
16140 -33145.1 302235 -747266
16150 48858.1 302185 -747213
16160 -29758.2 302130 -745162
16170 -8396.92 302064 -745540
16180 -8162.44 301994 -745873
16190 66930.7 301929 -746166
16200 -2219.29 301877 -747708
16210 45694.5 301821 -747638
16220 18552.2 301789 -748280
16230 -23442.3 301762 -748651
16240 13817 301710 -748517
16250 10096.6 301658 -748288
16260 21923.6 301607 -747790
16270 -5511.38 301560 -747194
16280 -11145.5 301521 -747337
16290 26169.3 301479 -747052
16300 53456.9 301434 -747473
16310 12667.6 301406 -746949
16320 50324.5 301388 -745954
16330 -10110.7 301354 -745845
16340 28097.3 301302 -745916
16350 55438.3 301256 -746358
16360 3966.49 301242 -746320
16370 -1801.25 301239 -744814
16380 64785.9 301236 -744937
16390 -37211.4 301247 -744687
16400 38292.4 301260 -744194
16410 29272.5 301284 -743922
16420 -2713.07 301308 -744913
16430 -23362.5 301334 -745234
16440 11956.8 301339 -745345
16450 19411.8 301325 -746031
16460 65126.5 301309 -745287
16470 -42263.8 301285 -744718
16480 36986.5 301249 -744733
16490 -8646.93 301237 -745531
16500 67250.6 301230 -745041
16510 21057.8 301235 -745831
16520 33530.7 301244 -744399
16530 42489.1 301272 -745030
16540 -26730.3 301330 -744071
16550 -25495.5 301389 -745045
16560 -45695.2 301444 -744214
16570 25732.8 301494 -745096
16580 6332.51 301543 -745460
16590 2187.45 301584 -745698
16600 25587.5 301619 -745910
16610 -26867.6 301647 -745588
16620 8631.46 301674 -745562
16630 3638.85 301693 -745663
16640 71.0094 301700 -744734
16650 14363 301709 -743786
16660 21553.6 301736 -743801
16670 -10172.8 301772 -744004
16680 -6613.32 301812 -744825
16690 46747 301843 -744867
16700 13046.8 301885 -744576
16710 48356.1 301942 -744719
16720 -14271.9 302023 -745231
16730 -32211.5 302092 -745352
16740 -21490.2 302153 -745619
16750 -8447.8 302212 -745751
16760 -3747.25 302265 -745262
16770 -9157.23 302313 -744977
16780 21507.3 302351 -745457
16790 -33710.2 302388 -746397
16800 -60514.8 302408 -746750
16810 27586.3 302393 -747041
16820 17789 302379 -747350
16830 -7202.83 302385 -747780
